PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase
appenden,APPEND,D_PW,W,f,append
beetle,BEET,ND_W,W,f,beet
scuffon,BLOAT,UNREL,W,f,bloat
mulling,MULL,D_W,W,f,mull
musked,MUSK,D_PW,W,f,musk
inferous,INFER,D_PW,W,f,infer
basket,BASK,ND_W,W,f,bask
toilin,REEK,UNREL,W,f,reek
briskly,BRISK,D_W,W,f,brisk
twitten,TWIT,D_PW,W,f,twit
electy,ELECT,D_PW,W,f,elect
rumple,RUMP,ND_W,W,f,rump
pulpat,ACRE,UNREL,W,f,acre
brows,BROW,D_W,W,f,brow
surgeous,SURGE,D_PW,W,f,surge
snuffic,SNUFF,D_PW,W,f,snuff
tackle,TACK,ND_W,W,f,tack
tangon,BOON,UNREL,W,f,boon
trumped,TRUMP,D_W,W,f,trump
sleden,SLED,D_PW,W,f,sled
scalpy,SCALP,D_PW,W,f,scalp
mutton,MUTT,ND_W,W,f,mutt
fleeth,CROW,UNREL,W,f,crow
shacked,SHACK,D_W,W,f,shack
ribbal,RIB,D_PW,W,f,rib
chapen,CHAP,D_PW,W,f,chap
sternum,STERN,ND_W,W,f,stern
pierch,GOWN,UNREL,W,f,gown
ticker,TICK,D_W,W,f,tick
tonist,TON,D_PW,W,f,ton
rackity,RACK,D_PW,W,f,rack
skillet,SKILL,ND_W,W,f,skill
jarnel,POD,UNREL,W,f,pod
pimped,PIMP,D_W,W,f,pimp
socken,SOCK,D_PW,W,f,sock
cartly,CART,D_PW,W,f,cart
blanket,BLANK,ND_W,W,f,blank
dockot,GRIP,UNREL,W,f,grip
summed,SUM,D_W,W,f,sum
twinure,TWIN,D_PW,W,f,twin
pilly,PILL,D_PW,W,f,pill
tendon,TEND,ND_W,W,f,tend
panac,BID,UNREL,W,f,bid
hatched,HATCH,D_W,W,f,hatch
busher,BUSH,D_PW,W,f,bush
prommed,PROM,D_PW,W,f,prom
pattern,PAT,ND_W,W,f,pat
yellot,NOON,UNREL,W,f,noon
petted,PET,D_W,W,f,pet
sandize,SAND,D_PW,W,f,sand
chipen,CHIP,D_PW,W,f,chip
batch,BAT,ND_W,W,f,bat
hornin,GRAY,UNREL,W,f,gray
chucked,CHUCK,D_W,W,f,chuck
plainist,PLAIN,D_PW,W,f,plain
dragic,DRAG,D_PW,W,f,drag
bullet,BULL,ND_W,W,f,bull
ratuble,BUD,UNREL,W,f,bud
bucked,BUCK,D_W,W,f,buck
bellen,BELL,D_PW,W,f,bell
tricken,TRICK,D_PW,W,f,trick
bandit,BAND,ND_W,W,f,band
windil,NECK,UNREL,W,f,neck
nicked,NICK,D_W,W,f,nick
wallist,WALL,D_PW,W,f,wall
cashic,CASH,D_PW,W,f,cash
starch,STAR,ND_W,W,f,star
markon,BORN,UNREL,W,f,born
tripping,TRIP,D_W,W,f,trip
rockize,ROCK,D_PW,W,f,rock
singism,SING,D_PW,W,f,sing
planet,PLAN,ND_W,W,f,plan
sickon,FULL,UNREL,W,f,full
freedom,FREE,D_W,W,f,free
pickly,PICK,D_PW,W,f,pick
funnic,FUN,D_PW,W,f,fun
turnip,TURN,ND_W,W,f,turn
carlum,OWN,UNREL,W,f,own
boyhood,BOY,D_W,W,f,boy
manize,MAN,D_PW,W,f,man
cry,ANP,PSEUDOW,PW,j,anp
dip,CUW,PSEUDOW,PW,j,cuw
ego,GEP,PSEUDOW,PW,j,gep
fin,NEP,PSEUDOW,PW,j,nep
gym,ROJ,PSEUDOW,PW,j,roj
hop,TRE,PSEUDOW,PW,j,tre
jab,AIB,PSEUDOW,PW,j,aib
mat,FAL,PSEUDOW,PW,j,fal
arch,JIR,PSEUDOW,PW,j,jir
band,FUT,PSEUDOW,PW,j,fut
bear,LUP,PSEUDOW,PW,j,lup
bias,HIB,PSEUDOW,PW,j,hib
bled,DRAN,PSEUDOW,PW,j,dran
blur,REAG,PSEUDOW,PW,j,reag
bond,TARU,PSEUDOW,PW,j,taru
bray,TIEP,PSEUDOW,PW,j,tiep
clip,PHIP,PSEUDOW,PW,j,phip
demo,DROS,PSEUDOW,PW,j,dros
disc,THET,PSEUDOW,PW,j,thet
drip,YEVY,PSEUDOW,PW,j,yevy
fern,FOEM,PSEUDOW,PW,j,foem
frog,ARPY,PSEUDOW,PW,j,arpy
gold,BAWP,PSEUDOW,PW,j,bawp
heap,COWP,PSEUDOW,PW,j,cowp
hill,ELGS,PSEUDOW,PW,j,elgs
jeep,FELN,PSEUDOW,PW,j,feln
join,PLUE,PSEUDOW,PW,j,plue
loop,GRAK,PSEUDOW,PW,j,grak
lurk,ICEA,PSEUDOW,PW,j,icea
mile,LAIP,PSEUDOW,PW,j,laip
obey,JOPE,PSEUDOW,PW,j,jope
pine,ZATE,PSEUDOW,PW,j,zate
prod,POAT,PSEUDOW,PW,j,poat
rust,OICY,PSEUDOW,PW,j,oicy
scar,PAIF,PSEUDOW,PW,j,paif
swat,SIFE,PSEUDOW,PW,j,sife
swim,SKOW,PSEUDOW,PW,j,skow
tail,TAMN,PSEUDOW,PW,j,tamn
crack,VUSH,PSEUDOW,PW,j,vush
digit,WEDE,PSEUDOW,PW,j,wede
faith,ZENE,PSEUDOW,PW,j,zene
flour,ANSO,PSEUDOW,PW,j,anso
glory,BOLY,PSEUDOW,PW,j,boly
minor,TALM,PSEUDOW,PW,j,talm
pitch,DIKO,PSEUDOW,PW,j,diko
razor,DUFE,PSEUDOW,PW,j,dufe
superb,EALT,PSEUDOW,PW,j,ealt
hail,PEEM,PSEUDOW,PW,j,peem
halt,BUCT,PSEUDOW,PW,j,buct
hawk,EACK,PSEUDOW,PW,j,eack
lamb,JARK,PSEUDOW,PW,j,jark
lawn,OASY,PSEUDOW,PW,j,oasy
neat,LEBS,PSEUDOW,PW,j,lebs
nest,REEN,PSEUDOW,PW,j,reen
pile,SELY,PSEUDOW,PW,j,sely
plot,HILE,PSEUDOW,PW,j,hile
plug,HARS,PSEUDOW,PW,j,hars
robe,BOKY,PSEUDOW,PW,j,boky
root,CLAR,PSEUDOW,PW,j,clar
rode,HUBE,PSEUDOW,PW,j,hube
ruby,KECK,PSEUDOW,PW,j,keck
shed,BEAGS,PSEUDOW,PW,j,beags
silk,LONUS,PSEUDOW,PW,j,lonus
slap,FUOYS,PSEUDOW,PW,j,fuoys
bare,CAVEB,PSEUDOW,PW,j,caveb
barn,CHOCT,PSEUDOW,PW,j,choct
bass,POLDS,PSEUDOW,PW,j,polds
beam,RYNIC,PSEUDOW,PW,j,rynic
order,DOMUD,PSEUDOW,PW,j,domud
shoot,EDGUS,PSEUDOW,PW,j,edgus
