PRIME,TARGET,RELATIONSHIP,LEXICALITY,COR_ANS,target_lowercase
appending,APPEND,D_W,W,f,append
beeted,BEET,D_PW,W,f,beet
scuffle,BLOAT,UNREL,W,f,bloat
mullil,MULL,ND_PW,W,f,mull
musky,MUSK,D_W,W,f,musk
inference,INFER,D_W,W,f,infer
baskous,BASK,D_PW,W,f,bask
toilet,REEK,UNREL,W,f,reek
briskin,BRISK,ND_PW,W,f,brisk
twits,TWIT,D_W,W,f,twit
election,ELECT,D_W,W,f,elect
rumpize,RUMP,D_PW,W,f,rump
pulpit,ACRE,UNREL,W,f,acre
browon,BROW,ND_PW,W,f,brow
surges,SURGE,D_W,W,f,surge
snuffs,SNUFF,D_W,W,f,snuff
tacker,TACK,D_PW,W,f,tack
tangle,BOON,UNREL,W,f,boon
trumpon,TRUMP,ND_PW,W,f,trump
sleds,SLED,D_W,W,f,sled
scalped,SCALP,D_W,W,f,scalp
muttous,MUTT,D_PW,W,f,mutt
fleece,CROW,UNREL,W,f,crow
shackon,SHACK,ND_PW,W,f,shack
ribbed,RIB,D_W,W,f,rib
chapping,CHAP,D_W,W,f,chap
sterned,STERN,D_PW,W,f,stern
pierce,GOWN,UNREL,W,f,gown
tickon,TICK,ND_PW,W,f,tick
tons,TON,D_W,W,f,ton
racking,RACK,D_W,W,f,rack
skillen,SKILL,D_PW,W,f,skill
jargon,POD,UNREL,W,f,pod
pimpon,PIMP,ND_PW,W,f,pimp
socked,SOCK,D_W,W,f,sock
carter,CART,D_W,W,f,cart
blankal,BLANK,D_PW,W,f,blank
docket,GRIP,UNREL,W,f,grip
summel,SUM,ND_PW,W,f,sum
twins,TWIN,D_W,W,f,twin
pills,PILL,D_W,W,f,pill
tendic,TEND,D_PW,W,f,tend
panda,BID,UNREL,W,f,bid
hatchin,HATCH,ND_PW,W,f,hatch
bushes,BUSH,D_W,W,f,bush
proms,PROM,D_W,W,f,prom
patism,PAT,D_PW,W,f,pat
yellow,NOON,UNREL,W,f,noon
petnum,PET,ND_PW,W,f,pet
sandy,SAND,D_W,W,f,sand
chipping,CHIP,D_W,W,f,chip
bature,BAT,D_PW,W,f,bat
hornet,GRAY,UNREL,W,f,gray
chuckin,CHUCK,ND_PW,W,f,chuck
plainness,PLAIN,D_W,W,f,plain
dragging,DRAG,D_W,W,f,drag
bullic,BULL,D_PW,W,f,bull
ratchet,BUD,UNREL,W,f,bud
buckin,BUCK,ND_PW,W,f,buck
bells,BELL,D_W,W,f,bell
tricked,TRICK,D_W,W,f,trick
bander,BAND,D_PW,W,f,band
window,NECK,UNREL,W,f,neck
nickat,NICK,ND_PW,W,f,nick
walled,WALL,D_W,W,f,wall
cashed,CASH,D_W,W,f,cash
starren,STAR,D_PW,W,f,star
market,BORN,UNREL,W,f,born
tripit,TRIP,ND_PW,W,f,trip
rocking,ROCK,D_W,W,f,rock
singer,SING,D_W,W,f,sing
planic,PLAN,D_PW,W,f,plan
sickle,FULL,UNREL,W,f,full
freeple,FREE,ND_PW,W,f,free
picked,PICK,D_W,W,f,pick
funny,FUN,D_W,W,f,fun
turnism,TURN,D_PW,W,f,turn
carbon,OWN,UNREL,W,f,own
boycket,BOY,ND_PW,W,f,boy
manly,MAN,D_W,W,f,man
cry,ANP,PSEUDOW,PW,j,anp
dip,CUW,PSEUDOW,PW,j,cuw
ego,GEP,PSEUDOW,PW,j,gep
fin,NEP,PSEUDOW,PW,j,nep
gym,ROJ,PSEUDOW,PW,j,roj
hop,TRE,PSEUDOW,PW,j,tre
jab,AIB,PSEUDOW,PW,j,aib
mat,FAL,PSEUDOW,PW,j,fal
arch,JIR,PSEUDOW,PW,j,jir
band,FUT,PSEUDOW,PW,j,fut
bear,LUP,PSEUDOW,PW,j,lup
bias,HIB,PSEUDOW,PW,j,hib
bled,DRAN,PSEUDOW,PW,j,dran
blur,REAG,PSEUDOW,PW,j,reag
bond,TARU,PSEUDOW,PW,j,taru
bray,TIEP,PSEUDOW,PW,j,tiep
clip,PHIP,PSEUDOW,PW,j,phip
demo,DROS,PSEUDOW,PW,j,dros
disc,THET,PSEUDOW,PW,j,thet
drip,YEVY,PSEUDOW,PW,j,yevy
fern,FOEM,PSEUDOW,PW,j,foem
frog,ARPY,PSEUDOW,PW,j,arpy
gold,BAWP,PSEUDOW,PW,j,bawp
heap,COWP,PSEUDOW,PW,j,cowp
hill,ELGS,PSEUDOW,PW,j,elgs
jeep,FELN,PSEUDOW,PW,j,feln
join,PLUE,PSEUDOW,PW,j,plue
loop,GRAK,PSEUDOW,PW,j,grak
lurk,ICEA,PSEUDOW,PW,j,icea
mile,LAIP,PSEUDOW,PW,j,laip
obey,JOPE,PSEUDOW,PW,j,jope
pine,ZATE,PSEUDOW,PW,j,zate
prod,POAT,PSEUDOW,PW,j,poat
rust,OICY,PSEUDOW,PW,j,oicy
scar,PAIF,PSEUDOW,PW,j,paif
swat,SIFE,PSEUDOW,PW,j,sife
swim,SKOW,PSEUDOW,PW,j,skow
tail,TAMN,PSEUDOW,PW,j,tamn
crack,VUSH,PSEUDOW,PW,j,vush
digit,WEDE,PSEUDOW,PW,j,wede
faith,ZENE,PSEUDOW,PW,j,zene
flour,ANSO,PSEUDOW,PW,j,anso
glory,BOLY,PSEUDOW,PW,j,boly
minor,TALM,PSEUDOW,PW,j,talm
pitch,DIKO,PSEUDOW,PW,j,diko
razor,DUFE,PSEUDOW,PW,j,dufe
superb,EALT,PSEUDOW,PW,j,ealt
hail,PEEM,PSEUDOW,PW,j,peem
halt,BUCT,PSEUDOW,PW,j,buct
hawk,EACK,PSEUDOW,PW,j,eack
lamb,JARK,PSEUDOW,PW,j,jark
lawn,OASY,PSEUDOW,PW,j,oasy
neat,LEBS,PSEUDOW,PW,j,lebs
nest,REEN,PSEUDOW,PW,j,reen
pile,SELY,PSEUDOW,PW,j,sely
plot,HILE,PSEUDOW,PW,j,hile
plug,HARS,PSEUDOW,PW,j,hars
robe,BOKY,PSEUDOW,PW,j,boky
root,CLAR,PSEUDOW,PW,j,clar
rode,HUBE,PSEUDOW,PW,j,hube
ruby,KECK,PSEUDOW,PW,j,keck
shed,BEAGS,PSEUDOW,PW,j,beags
silk,LONUS,PSEUDOW,PW,j,lonus
slap,FUOYS,PSEUDOW,PW,j,fuoys
bare,CAVEB,PSEUDOW,PW,j,caveb
barn,CHOCT,PSEUDOW,PW,j,choct
bass,POLDS,PSEUDOW,PW,j,polds
beam,RYNIC,PSEUDOW,PW,j,rynic
order,DOMUD,PSEUDOW,PW,j,domud
shoot,EDGUS,PSEUDOW,PW,j,edgus
touch,EWACT,PSEUDOW,PW,j,ewact
crack,ENPEL,PSEUDOW,PW,j,enpel
faith,FILNY,PSEUDOW,PW,j,filny
flour,GODRY,PSEUDOW,PW,j,godry
glory,HOVVY,PSEUDOW,PW,j,hovvy
minor,IBEAS,PSEUDOW,PW,j,ibeas
pitch,KNEOS,PSEUDOW,PW,j,kneos
razor,RONER,PSEUDOW,PW,j,roner
superb,FEACT,PSEUDOW,PW,j,feact
digit,FETACH,PSEUDOW,PW,j,fetach
